DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,162055,,Transmission,Mk10,1,00:03:20 07-Apr-2017,00:03:40 07-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,07:21:00 07-Apr-2017,08:11:20 07-Apr-2017,Message,10,,,,3010.000000,3030.000000,,
Green,162055,,Transmission,Mk10,1,07:21:00 07-Apr-2017,07:32:20 07-Apr-2017,Dive,1,Square,3.5,3.5,679,681,,
Green,162055,,Transmission,Mk10,1,07:32:20 07-Apr-2017,07:33:00 07-Apr-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,07:33:00 07-Apr-2017,07:44:10 07-Apr-2017,Dive,1,Square,3.5,3.5,669,671,,
Green,162055,,Transmission,Mk10,1,07:44:10 07-Apr-2017,07:44:20 07-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,07:44:20 07-Apr-2017,07:49:30 07-Apr-2017,Dive,1,Square,4.0,4.0,309,311,,
Green,162055,,Transmission,Mk10,1,07:49:30 07-Apr-2017,07:49:40 07-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,07:49:40 07-Apr-2017,07:59:50 07-Apr-2017,Dive,1,Square,3.0,3.0,609,611,,
Green,162055,,Transmission,Mk10,1,07:59:50 07-Apr-2017,08:00:00 07-Apr-2017,Surface,,,,,9,11,10,0
